Block,Area_m2,MeanDepth_m,Volume_m3
Block-1,800.0,-0.1,121.8
Block-2,800.0,3.09,2463.7
Block-3,600.0,0.86,516.1
Block-4,600.0,1.38,836.7
Block-5,600.0,0.49,318.5
Block-6,1600.0,2.37,4036.8
Block-7,1500.0,2.73,4020.0
Block-8,3300.0,-0.05,1676.5
Block-9,1800.0,2.17,3707.9
Block-10,5200.0,-1.06,594.3
Block-11,2100.0,2.24,5305.6
Block-12,3100.0,0.59,2331.1
Block-13,12900.0,-0.44,12455.3
Block-14,900.0,1.45,1280.8
Block-15,2600.0,2.31,5594.5
Block-16,900.0,1.94,1730.5
Block-17,900.0,2.28,2057.7
Block-18,1200.0,1.83,2115.2
Block-19,14300.0,0.18,15987.1
Block-20,4500.0,1.43,7159.9
Block-21,1200.0,2.29,2764.4
Block-22,1800.0,2.18,3905.8
Block-23,1200.0,1.57,1864.9
Block-24,2400.0,1.25,3047.5
Block-25,2700.0,1.84,4894.2
Block-26,15200.0,2.23,36803.6
Block-27,900.0,1.66,1519.3
Block-28,900.0,3.01,2745.1
Block-29,31800.0,-3.65,25638.0
Block-30,3100.0,2.24,8225.7
Block-31,3400.0,1.12,4100.0
Block-32,6100.0,0.05,4073.1
Block-33,7000.0,0.47,5194.0
Block-34,1900.0,1.06,2091.9
Block-35,6300.0,1.4,9836.4
Block-36,1800.0,1.38,2415.6
Block-37,2900.0,1.49,4457.8
Block-38,15300.0,-0.51,4926.2
Block-39,5500.0,0.65,5279.3
Block-40,900.0,0.62,565.0
Block-41,1200.0,2.59,3024.6
Block-42,900.0,3.03,2612.0
Block-43,900.0,1.55,1361.0
Block-44,1600.0,2.82,4540.3
Block-45,1900.0,2.11,3875.3
Block-46,1500.0,1.4,2153.9
Block-47,900.0,1.72,1530.3
Block-48,900.0,1.14,1044.6
Block-49,1200.0,0.75,978.8
Block-50,29700.0,1.2,47029.2
Block-51,900.0,2.77,2525.0
Block-52,2400.0,1.85,4411.9
Block-53,22400.0,3.85,92195.1
Block-54,1200.0,2.25,2652.3
Block-55,1500.0,3.35,4858.7
Block-56,6500.0,3.16,21246.3
Block-57,2400.0,2.97,6971.2
Block-58,1200.0,3.37,4005.2
Block-59,3600.0,2.92,11462.1
Block-60,900.0,2.45,2142.9
Block-61,900.0,1.62,1408.4
Block-62,1900.0,0.17,760.6
Block-63,2300.0,3.6,8295.8
Block-64,900.0,1.68,1501.4
Block-65,6600.0,-0.19,1778.6
Block-66,900.0,2.59,2342.0
Block-67,2300.0,2.39,5434.7
Block-68,4100.0,0.74,3852.1
Block-69,3100.0,1.89,6278.4
Block-70,900.0,1.68,1509.8
Block-71,1700.0,2.69,5079.5
Block-72,10500.0,1.26,19536.7
Block-73,3200.0,-0.07,1584.7
Block-74,1200.0,1.47,1860.9
Block-75,900.0,3.02,2782.1
Block-76,900.0,1.94,1725.3
Block-77,1500.0,1.09,1673.2
Block-78,1500.0,1.16,1739.2
Block-79,900.0,4.79,4383.4
Block-80,1800.0,2.92,5318.8
Block-81,1500.0,2.11,3359.6
Block-82,17400.0,2.05,36792.9
Block-83,3600.0,-0.2,1516.8
Block-84,8800.0,2.74,24808.6
Block-85,74400.0,-0.14,109781.4
Block-86,900.0,3.25,2943.7
Block-87,2600.0,5.14,13028.2
Block-88,900.0,2.03,1873.3
Block-89,2500.0,2.66,6691.7
Block-90,900.0,1.94,1784.8
Block-91,900.0,3.05,2699.0
Block-92,39400.0,3.57,136902.3
Block-93,55100.0,1.79,137643.9
Block-94,8300.0,2.86,27856.8
Block-95,900.0,3.14,2807.2
Block-96,5300.0,1.88,12794.7
Block-97,14800.0,3.86,50404.2
Block-98,10700.0,2.75,30528.6
Block-99,2300.0,3.79,8725.3
Block-100,1500.0,3.33,5010.3
Block-101,185300.0,2.12,582458.1
Block-102,5400.0,3.59,19872.5
Block-103,3400.0,1.84,6393.9
Block-104,900.0,1.57,1407.9
Block-105,10000.0,5.01,55558.9
Block-106,1200.0,2.33,2732.1
Block-107,2500.0,2.29,6021.5
Block-108,5700.0,4.02,20336.5
Block-109,14400.0,2.65,38134.8
Block-110,600.0,1.1,666.9
Block-111,3000.0,1.1,3564.9
Block-112,900.0,3.76,3384.3
Block-113,2300.0,3.26,7496.3
Block-114,1500.0,1.77,2696.0
Block-115,4900.0,1.97,9678.1
Block-116,900.0,1.09,1088.4
Block-117,900.0,1.98,1789.8
Block-118,900.0,1.77,1643.7
Block-119,26100.0,-2.0,20460.6
Block-120,6600.0,2.73,22639.7
Block-121,13800.0,4.1,56051.2
Block-122,1900.0,0.94,1807.5
Block-123,5600.0,2.77,16297.9
Block-124,16000.0,-0.54,16975.7
Block-125,900.0,1.97,1806.5
Block-126,27600.0,5.19,125823.6
Block-127,2800.0,0.15,987.7
Block-128,160900.0,-6.79,226639.7
Block-129,4300.0,27.74,113101.0
Block-130,2900.0,3.74,9767.3
Block-131,900.0,1.65,1540.6
Block-132,2000.0,2.88,5941.5
Block-133,1400.0,5.69,7930.8
Block-134,11900.0,0.65,12459.6
Block-135,10200.0,-0.11,5486.7
Block-136,2400.0,1.84,4424.3
Block-137,1800.0,2.38,4548.5
Block-138,8900.0,-0.41,6088.5
Block-139,2700.0,2.58,6405.1
Block-140,2900.0,3.01,11735.9
Block-141,3400.0,0.86,4308.6
Block-142,3900.0,1.44,6530.0
Block-143,6700.0,3.92,28744.2
Block-144,900.0,3.56,3201.6
Block-145,2600.0,0.19,806.4
Block-146,1500.0,1.91,3420.2
Block-147,7900.0,0.97,11214.7
Block-148,3500.0,1.17,4410.3
Block-149,2500.0,1.83,4374.5
Block-150,1500.0,1.78,2624.0
Block-151,1500.0,1.37,2210.2
Block-152,1900.0,2.9,5654.3
Block-153,1200.0,2.71,3107.3
Block-154,1500.0,1.68,2597.1
Block-155,1200.0,2.43,2963.3
Block-156,900.0,2.85,2565.4
Block-157,14900.0,5.12,79572.8
Block-158,11200.0,0.3,8201.3
Block-159,1500.0,1.84,2791.5
Block-160,1200.0,1.42,1720.0
Block-161,900.0,1.1,1019.3
Block-162,14800.0,4.01,57965.9
Block-163,18700.0,-0.99,15764.5
Block-164,7300.0,2.29,17893.2
Block-165,1700.0,1.36,2346.2
Block-166,1500.0,1.33,1982.7
Block-167,4300.0,1.45,6899.5
Block-168,2100.0,0.69,1446.8
Block-169,900.0,8.56,7803.8
Block-170,56900.0,11.59,614169.3
Block-171,1200.0,1.91,2340.6
Block-172,1200.0,1.48,1853.9
Block-173,45500.0,1.33,81888.8
Block-174,3300.0,2.55,7718.6
Block-175,1800.0,2.37,4167.4
Block-176,900.0,1.56,1423.2
Block-177,1600.0,2.2,3518.1
Block-178,1900.0,0.17,442.5
Block-179,900.0,0.18,211.3
Block-180,900.0,2.86,2617.0
Block-181,1800.0,0.87,1640.1
Block-182,1200.0,1.35,1610.9
Block-183,4600.0,12.49,55313.2
Block-184,4300.0,-0.18,2460.3
Block-185,1200.0,1.73,2084.0
Block-186,1200.0,1.29,1520.8
Block-187,900.0,1.35,1246.1
Block-188,1200.0,2.23,2693.7
Block-189,2600.0,2.25,5577.1
Block-190,900.0,2.47,2251.4
Block-191,900.0,3.77,3390.0
Block-192,2800.0,2.29,6309.8
Block-193,6700.0,2.6,17432.6
Block-194,900.0,0.91,856.7
Block-195,10900.0,1.39,15702.1
Block-196,2900.0,2.66,7656.5
Block-197,900.0,1.52,1410.6
Block-198,1200.0,1.94,2315.6
Block-199,900.0,0.82,767.9
Block-200,16000.0,4.2,64992.3
Block-201,900.0,1.45,1340.9
Block-202,1500.0,1.53,2281.0
Block-203,4500.0,6.67,29724.1
Block-204,2800.0,2.73,7178.8
Block-205,3300.0,2.28,7230.2
Block-206,900.0,2.06,1895.3
Block-207,22400.0,5.22,109649.0
Block-208,1700.0,2.23,3841.9
Block-209,2200.0,1.03,2400.8
Block-210,1500.0,2.67,4230.5
Block-211,7200.0,1.64,12443.1
Block-212,900.0,1.9,1741.6
Block-213,900.0,1.7,1515.1
Block-214,2100.0,1.3,2527.6
Block-215,7300.0,3.67,27550.3
Block-216,8600.0,3.7,30883.1
Block-217,1200.0,0.73,971.9
Block-218,1800.0,2.63,4761.0
Block-219,10400.0,3.03,31888.1
Block-220,9300.0,2.28,22592.3
Block-221,16000.0,2.96,56555.5
Block-222,900.0,1.44,1288.0
Block-223,900.0,0.89,879.4
Block-224,10100.0,3.72,37580.7
Block-225,900.0,2.0,1826.2
Block-226,1200.0,1.46,1689.3
Block-227,6800.0,3.85,27753.7
Block-228,15300.0,2.32,41618.7
Block-229,9900.0,-0.03,3970.7
Block-230,1400.0,3.03,4227.5
Block-231,900.0,1.64,1483.0
Block-232,13800.0,8.11,107252.2
Block-233,16000.0,1.52,24336.9
Block-234,4700.0,1.96,9106.2
Block-235,1200.0,1.54,1931.0
Block-236,7700.0,2.4,19709.7
Block-237,2000.0,1.62,3285.8
Block-238,2100.0,2.61,5640.6
Block-239,1200.0,1.63,1967.9
Block-240,2100.0,1.84,3895.2
Block-241,5900.0,1.23,7460.8
Block-242,3400.0,2.87,9914.3
Block-243,900.0,1.31,1170.0
Block-244,900.0,0.38,385.1
Block-245,900.0,1.33,1259.0
Block-246,5600.0,2.75,16636.1
Block-247,4600.0,2.95,13545.7
Block-248,11400.0,4.79,51915.1
Block-249,7000.0,2.47,20399.0
Block-250,15700.0,3.48,62612.1
Block-251,362400.0,1.35,980784.2
Block-252,4100.0,2.35,9616.7
Block-253,20700.0,4.03,91923.1
Block-254,2600.0,2.54,6505.4
Block-255,2300.0,2.02,4630.5
Block-256,1800.0,1.39,2540.2
Block-257,1200.0,1.57,1870.2
Block-258,900.0,2.24,2075.0
Block-259,9000.0,-1.07,1880.3
Block-260,1500.0,2.55,3741.3
Block-261,1800.0,1.62,2744.3
Block-262,3800.0,1.23,4891.0
Block-263,4600.0,1.87,8779.0
Block-264,900.0,1.28,1167.2
Block-265,9000.0,2.92,33137.4
Block-266,1800.0,2.1,3909.6
Block-267,1600.0,2.83,4374.4
Block-268,14000.0,3.71,50711.0
Block-269,10900.0,3.23,38548.9
Block-270,2000.0,2.7,5362.9
Block-271,3100.0,0.28,1588.1
Block-272,6600.0,1.68,13584.4
Block-273,900.0,1.04,962.2
Block-274,4400.0,1.82,8026.1
Block-275,6300.0,0.83,8749.5
Block-276,1500.0,2.42,3679.5
Block-277,1600.0,2.09,3379.0
Block-278,328600.0,0.38,749966.1
Block-279,20100.0,1.37,32488.8
Block-280,1700.0,2.96,4866.0
Block-281,1800.0,3.57,6288.2
Block-282,900.0,0.9,858.6
Block-283,3300.0,0.16,1140.1
Block-284,13800.0,1.58,28264.2
Block-285,3400.0,2.43,8688.0
Block-286,900.0,2.0,1799.7
Block-287,5400.0,0.14,3870.5
Block-288,4600.0,0.9,4798.5
Block-289,2400.0,0.22,1120.7
Block-290,18900.0,4.05,81108.4
Block-291,900.0,2.55,2309.3
Block-292,900.0,0.95,878.0
Block-293,900.0,1.85,1632.2
Block-294,2200.0,0.84,2059.4
Block-295,2400.0,2.72,6647.3
Block-296,900.0,1.3,1182.1
Block-297,3500.0,2.72,9747.2
Block-298,1200.0,3.03,3641.9
Block-299,2500.0,4.72,12467.9
Block-300,1200.0,1.48,1806.1
Block-301,1400.0,1.39,2066.5
Block-302,18700.0,3.74,71556.4
Block-303,900.0,1.09,1033.8
