Block,Area_m2,MeanDepth_m,Volume_m3
Block-1,600.0,1.64,935.8
Block-2,600.0,3.01,1801.2
Block-3,600.0,7.25,4295.8
Block-4,900.0,3.96,3652.2
Block-5,2000.0,3.57,7057.1
Block-6,5400.0,8.79,46203.9
Block-7,1800.0,3.97,7386.5
Block-8,2000.0,5.85,11261.5
Block-9,1200.0,3.74,4676.8
Block-10,900.0,3.61,3252.5
Block-11,3600.0,5.52,20925.4
Block-12,3000.0,6.13,18601.0
Block-13,900.0,3.69,3308.8
Block-14,4900.0,4.62,22307.1
Block-15,5300.0,6.1,33293.1
Block-16,2300.0,3.28,8557.4
Block-17,1500.0,2.62,4071.0
Block-18,900.0,5.11,4584.6
Block-19,1900.0,8.18,14811.1
Block-20,1800.0,6.8,11890.8
Block-21,8600.0,12.31,99784.2
Block-22,4400.0,6.63,28660.5
Block-23,6400.0,9.89,56412.6
Block-24,1800.0,4.57,8566.7
Block-25,6000.0,4.51,26389.1
Block-26,20800.0,10.27,219460.5
Block-27,3100.0,5.54,18639.0
Block-28,17900.0,8.32,148089.7
Block-29,1200.0,4.88,5835.1
Block-30,1500.0,4.95,7473.0
Block-31,2000.0,7.33,14721.1
Block-32,900.0,4.55,4032.6
Block-33,2800.0,5.5,15239.3
Block-34,11500.0,8.67,93780.8
Block-35,2300.0,3.78,8961.3
Block-36,18000.0,7.46,129999.9
Block-37,4600.0,5.95,28270.2
Block-38,900.0,3.65,3234.2
Block-39,1400.0,3.85,5352.7
Block-40,10000.0,6.64,67911.0
Block-41,1200.0,4.36,5203.8
Block-42,131600.0,17.99,2429775.0
Block-43,124400.0,14.47,1894799.4
Block-44,3400.0,6.45,22137.1
Block-45,6500.0,8.49,54230.6
Block-46,1200.0,5.44,6311.4
Block-47,59000.0,12.09,747818.2
Block-48,19000.0,5.26,101153.3
Block-49,12000.0,9.92,124086.0
Block-50,5400.0,7.71,39775.7
Block-51,900.0,2.11,1930.2
Block-52,7700.0,5.55,45128.7
Block-53,900.0,2.55,2337.3
Block-54,900.0,3.82,3345.0
Block-55,7800.0,6.21,51554.4
Block-56,3800.0,5.15,20551.6
Block-57,900.0,3.52,3132.5
Block-58,900.0,3.48,3175.8
Block-59,30300.0,16.9,467570.2
Block-60,19300.0,13.19,233342.1
Block-61,4900.0,11.32,53140.6
Block-62,30800.0,4.55,154091.6
Block-63,900.0,4.62,4136.8
Block-64,900.0,3.35,2978.5
Block-65,1200.0,4.29,5145.9
Block-66,900.0,3.45,3115.2
Block-67,1500.0,5.26,8257.3
Block-68,1200.0,3.58,4134.0
Block-69,3500.0,6.82,24033.3
Block-70,17400.0,3.63,74886.3
Block-71,5000.0,6.16,32183.6
Block-72,3500.0,4.76,15596.6
Block-73,900.0,4.02,3530.5
Block-74,45600.0,7.62,330870.6
Block-75,900.0,4.02,3645.3
Block-76,10600.0,5.61,64398.7
Block-77,7400.0,8.31,57839.3
Block-78,3300.0,1.47,4814.4
Block-79,900.0,4.8,4215.9
Block-80,900.0,4.93,4419.6
Block-81,2400.0,3.58,8638.9
Block-82,933800.0,21.66,21520600.0
Block-83,900.0,4.84,4250.4
Block-84,900.0,5.23,4678.8
Block-85,1500.0,4.43,6726.4
Block-86,29700.0,8.23,251057.8
Block-87,900.0,4.23,3748.0
Block-88,900.0,5.05,4511.6
Block-89,900.0,3.96,3633.0
Block-90,11400.0,7.55,87730.9
Block-91,900.0,5.67,5014.5
Block-92,8800.0,7.65,66533.2
Block-93,1200.0,4.36,5290.3
Block-94,900.0,5.46,4896.6
Block-95,900.0,3.34,2932.2
Block-96,3400.0,6.45,21951.8
Block-97,1800.0,3.13,5694.0
Block-98,1400.0,3.92,5474.0
Block-99,1500.0,4.0,5837.9
Block-100,2100.0,5.55,11438.1
Block-101,4800.0,5.52,26724.7
Block-102,7900.0,6.47,47261.5
Block-103,49400.0,14.61,796014.0
Block-104,9900.0,15.58,147888.8
Block-105,1500.0,6.35,9450.7
Block-106,9000.0,7.56,68277.1
Block-107,21800.0,10.52,225075.3
Block-108,1200.0,3.6,4294.1
Block-109,3100.0,5.94,17125.6
Block-110,1900.0,4.18,7997.7
Block-111,1200.0,3.58,4190.0
Block-112,7400.0,7.5,55565.0
Block-113,45700.0,16.43,759680.2
Block-114,5800.0,5.07,29319.7
Block-115,900.0,5.61,5007.0
Block-116,2000.0,6.32,12176.5
Block-117,2300.0,4.47,10196.8
Block-118,4200.0,4.22,18208.0
Block-119,900.0,3.16,2851.1
Block-120,1200.0,5.6,6533.0
Block-121,34700.0,10.05,361895.1
Block-122,4900.0,6.31,31626.4
Block-123,112100.0,21.14,2288384.4
Block-124,5800.0,7.34,42390.8
Block-125,3400.0,5.15,17177.3
Block-126,1200.0,3.86,4592.5
Block-127,3800.0,7.0,25308.7
Block-128,3900.0,4.5,17161.6
Block-129,2700.0,2.28,6177.2
Block-130,900.0,3.75,3393.6
Block-131,5900.0,8.4,46532.2
Block-132,1800.0,5.77,10480.0
Block-133,2000.0,7.01,13933.4
Block-134,1500.0,3.28,4848.3
Block-135,2200.0,3.54,8894.5
Block-136,95100.0,23.0,2186713.9
Block-137,3600.0,9.56,33380.9
Block-138,900.0,3.43,3054.4
Block-139,1800.0,2.03,3758.7
Block-140,3900.0,7.03,26345.0
Block-141,1500.0,6.12,9086.2
Block-142,1200.0,3.89,4794.4
Block-143,104500.0,10.91,1245658.8
Block-144,8000.0,7.96,62492.0
Block-145,900.0,3.74,3484.9
Block-146,2400.0,3.51,8207.4
Block-147,900.0,2.35,2126.9
Block-148,1900.0,4.58,8671.6
Block-149,3200.0,7.52,23820.6
Block-150,900.0,4.61,4166.1
Block-151,1800.0,5.27,9434.8
Block-152,2900.0,3.87,10767.2
Block-153,47600.0,13.53,638989.0
Block-154,900.0,4.83,4382.3
Block-155,900.0,3.42,3034.8
Block-156,4100.0,6.62,26455.1
Block-157,1600.0,5.33,8287.6
Block-158,2800.0,5.49,15546.8
Block-159,2300.0,4.42,9864.7
Block-160,900.0,2.6,2301.0
Block-161,39800.0,7.33,290647.4
Block-162,900.0,5.18,4705.0
Block-163,3200.0,4.42,14709.2
Block-164,600.0,3.19,1889.2
Block-165,5600.0,6.76,40122.1
Block-166,900.0,3.43,3132.6
Block-167,4000.0,3.77,14929.9
Block-168,1200.0,5.82,6972.9
Block-169,1500.0,3.25,4636.9
Block-170,1200.0,3.86,4517.0
Block-171,50200.0,8.93,498859.9
Block-172,1500.0,3.62,5334.5
Block-173,8100.0,6.41,51218.9
Block-174,2400.0,5.52,13795.4
Block-175,4400.0,6.14,26570.5
Block-176,1500.0,3.79,5472.3
Block-177,1200.0,2.63,3160.3
Block-178,3700.0,9.75,33894.3
Block-179,900.0,3.73,3329.9
Block-180,2600.0,5.5,14156.0
Block-181,5600.0,4.57,24998.4
Block-182,900.0,3.01,2723.3
Block-183,2500.0,3.91,9861.8
Block-184,5800.0,4.92,27407.4
Block-185,900.0,2.61,2384.2
Block-186,77500.0,11.43,773515.6
Block-187,1500.0,2.65,4125.9
Block-188,900.0,3.74,3373.7
Block-189,2400.0,3.88,9552.7
Block-190,1900.0,6.63,12338.2
Block-191,1900.0,4.95,9488.2
Block-192,9900.0,8.92,88451.9
Block-193,3700.0,7.33,25866.6
