Block,Area_m2,MeanDepth_m,Volume_m3
Block-1,900.0,10.68,9264.9
Block-2,2800.0,7.26,20012.5
Block-3,2100.0,5.91,13088.7
Block-4,1500.0,3.14,4600.6
Block-5,2700.0,5.68,15076.7
Block-6,6600.0,12.33,76047.4
Block-7,1500.0,4.89,6990.6
Block-8,900.0,4.14,3796.0
Block-9,8300.0,7.68,67408.7
Block-10,1500.0,5.24,7703.4
Block-11,2400.0,5.41,12585.0
Block-12,2800.0,7.44,21262.5
Block-13,7100.0,12.03,86666.6
Block-14,6100.0,8.83,52031.7
Block-15,15800.0,9.44,169787.4
Block-16,12100.0,6.21,77900.4
Block-17,1200.0,6.58,8020.3
Block-18,9300.0,11.78,108875.6
Block-19,14500.0,7.42,118241.2
Block-20,12100.0,9.47,110604.0
Block-21,2200.0,4.43,10125.0
Block-22,1500.0,1.26,2309.4
Block-23,2000.0,6.48,12502.2
Block-24,3000.0,1.18,4925.6
Block-25,6300.0,10.96,65409.5
Block-26,15000.0,4.22,67086.5
Block-27,2700.0,3.01,7946.4
Block-28,25200.0,9.89,256405.1
Block-29,1900.0,14.22,25492.0
Block-30,32600.0,19.83,623773.1
Block-31,5700.0,8.39,46114.2
Block-32,3800.0,15.76,57466.0
Block-33,25800.0,11.15,289497.9
Block-34,7600.0,9.57,64910.5
Block-35,22000.0,18.39,389163.7
Block-36,22600.0,14.28,317008.5
Block-37,12700.0,-2.51,17145.1
Block-38,11700.0,1.09,18257.2
Block-39,900.0,1.99,1867.7
Block-40,3800.0,4.66,17419.2
Block-41,900.0,3.59,3174.1
Block-42,1200.0,8.75,10483.0
Block-43,900.0,5.2,4726.7
Block-44,900.0,1.75,1611.5
Block-45,2500.0,7.71,19757.8
Block-46,900.0,3.93,3519.4
Block-47,2300.0,3.13,7176.6
Block-48,900.0,1.68,1491.9
Block-49,2800.0,3.21,9002.1
Block-50,5900.0,15.28,87135.4
Block-51,4500.0,6.51,31321.9
Block-52,6200.0,5.54,36050.4
Block-53,900.0,4.82,4337.9
